2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Динамо line Замоскворецкая линия with Петровский парк line Большая Кольцевая Линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Полежаевская line Таганско-Краснопресненская линия with Хорошёвская line Большая Кольцевая Линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Шелепиха line Центральное Кольцо with Шелепиха line Большая Кольцевая Линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Международная line Филевская линия with Деловой центр line Центральное Кольцо
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Кутузовская line Филевская линия with Кутузовская line Центральное Кольцо
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Парк Победы line Арбатско-Покровская линия with Парк Победы line Калининско-Солнцевская линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Каховская line Большая Кольцевая Линия with Севастопольская line Серпуховско-Тимирязевская линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Цветной бульвар line Серпуховско-Тимирязевская линия with Трубная line Люблинско-Дмитровская линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Зябликово line Люблинско-Дмитровская линия with Красногвардейская line Замоскворецкая линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Новоясеневская line Калужско-Рижская линия with Битцевский парк line Бутовская линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Ленинский проспект line Калужско-Рижская линия with Площадь Гагарина line Центральное Кольцо
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Римская line Люблинско-Дмитровская линия with Площадь Ильича line Калининско-Солнцевская линия
2021-12-13 09:47:29.256 [main] INFO  MetroParser - Add connection: Пролетарская line Таганско-Краснопресненская линия with Крестьянская застава line Люблинско-Дмитровская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Павелецкая line Замоскворецкая линия with Павелецкая line Кольцевая линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Парк Культуры line Сокольническая линия with Парк Культуры line Кольцевая линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Октябрьская line Кольцевая линия with Октябрьская line Калужско-Рижская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Добрынинская line Кольцевая линия with Серпуховская line Серпуховско-Тимирязевская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Менделеевская line Серпуховско-Тимирязевская линия with Новослободская line Кольцевая линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Улица Старокачаловская line Бутовская линия with Бульвар Дмитрия Донского line Серпуховско-Тимирязевская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Новокузнецкая line Замоскворецкая линия with Третьяковская line Калининско-Солнцевская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Третьяковская line Калининско-Солнцевская линия with Третьяковская line Калужско-Рижская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Третьяковская line Калужско-Рижская линия with Новокузнецкая line Замоскворецкая линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Боровицкая line Серпуховско-Тимирязевская линия with Арбатская line Арбатско-Покровская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Библиотека имени Ленина line Сокольническая линия with Боровицкая line Серпуховско-Тимирязевская линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Арбатская line Арбатско-Покровская линия with Библиотека имени Ленина line Сокольническая линия
2021-12-13 09:47:29.272 [main] INFO  MetroParser - Add connection: Александровский сад line Филевская линия with Библиотека имени Ленина line Сокольническая линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Арбатская line Арбатско-Покровская линия with Александровский сад line Филевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Киевская line Арбатско-Покровская линия with Киевская line Филевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Киевская line Кольцевая линия with Киевская line Арбатско-Покровская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Киевская line Кольцевая линия with Киевская line Филевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Таганская line Кольцевая линия with Таганская line Таганско-Краснопресненская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Таганская line Таганско-Краснопресненская линия with Марксистская line Калининско-Солнцевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Марксистская line Калининско-Солнцевская линия with Таганская line Кольцевая линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Курская line Арбатско-Покровская линия with Курская line Кольцевая линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Курская line Кольцевая линия with Курская line Арбатско-Покровская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Чкаловская line Люблинско-Дмитровская линия with Курская line Арбатско-Покровская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Сретенский бульвар line Люблинско-Дмитровская линия with Чистые пруды line Сокольническая линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Чистые пруды line Сокольническая линия with Тургеневская line Калужско-Рижская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Тургеневская line Калужско-Рижская линия with Сретенский бульвар line Люблинско-Дмитровская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Тверская line Замоскворецкая линия with Пушкинская line Таганско-Краснопресненская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Чеховская line Серпуховско-Тимирязевская линия with Тверская line Замоскворецкая линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Чеховская line Серпуховско-Тимирязевская линия with Пушкинская line Таганско-Краснопресненская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Славянский бульвар line Арбатско-Покровская линия with Славянский бульвар line МЦД-1
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Нижегородская line Некрасовская линия with Нижегородская line Центральное Кольцо
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Авиамоторная line Калининско-Солнцевская линия with Авиамоторная line Некрасовская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Волоколамская line МЦД-2 with Волоколамская line Арбатско-Покровская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Выставочная line Филевская линия with Деловой центр line Калининско-Солнцевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Деловой центр line Калининско-Солнцевская линия with Деловой центр line Большая Кольцевая Линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Деловой центр line Большая Кольцевая Линия with Выставочная line Филевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Проспект Вернадского line Сокольническая линия with Проспект Вернадского line Большая Кольцевая Линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Воронцовская line Большая Кольцевая Линия with Калужская line Калужско-Рижская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Кунцевская line Арбатско-Покровская линия with Кунцевская line Филевская линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Кунцевская line Арбатско-Покровская линия with Кунцевская line Большая Кольцевая Линия
2021-12-13 09:47:29.278 [main] INFO  MetroParser - Add connection: Кунцевская line Филевская линия with Кунцевская line Большая Кольцевая Линия
2021-12-13 09:47:29.294 [main] INFO  MetroParser - Add connection: Мичуринский проспект line Калининско-Солнцевская линия with Мичуринский проспект line Большая Кольцевая Линия
2021-12-13 09:47:29.294 [main] INFO  Main - End parse to file MoscowMetro.json
